1191.113,137.469,233.428,-170.623,-4.784,23.948
1043.492,304.327,244.93,-169.466,4.659,23.819
1100.92,298.725,167.197,-169.498,19.694,-9.436
1084.72,286.765,177.451,-169.783,19.84,-10.578
1062.949,323.702,180.346,-166.798,23.254,-11.64
1215.275,368.727,201.863,-158.153,7.173,-10.688
1048.225,300.772,230.51,-158.647,20.567,-9.136
1217.574,337.106,245.173,-151.406,-1.675,-4.083
1290.94,198.699,292.725,-162.118,-10.074,-4.391
1280.946,302.92,349.301,165.481,-12.016,21.26
1301.783,314.026,409.467,165.927,-15.62,21.153
1163.693,330.011,310.122,170.081,-13.263,-5.909
1069.596,364.991,247.66,164.01,1.567,37.445
1200.521,224.807,246.122,172.335,-14.367,12.797
1539.129,380.788,527.789,177.758,-35.623,10.464
1473.125,454.826,548.401,-174.995,-34.45,-12.608
1474.959,459.165,549.473,-178.468,-34.738,-6.494
1492.852,106.633,523.609,177.131,-29.666,-18.972
1211.642,9.929,356.62,166.793,-16.465,-14.884
1158.13,356.261,356.62,166.793,-16.465,1.745
1175.477,399.436,408.412,168.865,-19.369,2.316
1161.315,438.907,408.417,168.865,-19.369,4.252
1149.036,484.215,407.365,165.468,-17.014,16.858
1291.243,605.696,485.241,169.189,-24.716,15.528
1345.819,472.165,485.246,169.189,-24.717,9.73
1346.102,366.127,500.244,166.207,-23.805,4.098
